firstName,lastName, LoanBalance , ArrearsBalance ,ArrearsDays,RepaymentAmount,LVR,JointLoan,LPI, SecurityValuation , RelationshipBalance , SavingsBalance ,SavingsBalanceOne,SavingsBalanceThree,ArrearsBalanceOne,ArrearsBalanceThree,ArrearsDaysOne,ArrearsDaysThree,TransactionQuantityOne,TransactionValueOne,TransactionQuantityThree,TransactionValueThree,AppUsageOne,AppUsageThree,InternetUsageOne,InternetUsageThree,BranchVisitsSix,Gender,Age,ResidentialPostcode,DefaultOccurred
Fanchette,Lenchenko,6644.00,660.00,935,8939.00,89,Yes,Yes,1880.00,4552.00,9658.00,75,32,4,60,91,48,33,99,54,95,78,5,5,65,16,Female,35,95817,Yes
Zoe,Minchenton,8229.00,1822.00,477,2327.00,75,No,Yes,7517.00,3150.00,1135.00,85,92,33,59,16,84,26,25,90,50,1,81,20,98,99,Male,78,54699,Yes
Martynne,Thomton,4845.00,2567.00,13,6091.00,63,Yes,Yes,4328.00,2177.00,5824.00,36,100,83,83,57,71,16,43,98,28,8,76,60,13,31,Male,42,85445,Yes
Lilias,Pfaffe,1900.00,2441.00,349,8598.00,18,No,Yes,6205.00,7438.00,5317.00,60,15,33,99,85,26,91,87,61,6,4,30,77,22,3,Female,20,22363,No
Haven,Schubuser,9306.00,3322.00,5,5380.00,84,No,No,2097.00,5694.00,8498.00,75,17,32,40,18,20,95,27,44,52,39,100,76,49,75,Female,42,93040,No
Kennedy,Healks,2501.00,8767.00,393,8825.00,19,Yes,No,9068.00,6606.00,3038.00,49,2,63,88,62,8,51,28,66,36,22,67,26,33,29,Female,79,81787,No
Pauly,Summerson,5902.00,6172.00,577,5452.00,47,Yes,Yes,7083.00,1426.00,461.00,50,29,2,32,72,87,84,71,82,89,65,4,37,73,79,Female,60,22151,No
Dov,Dumbelton,1452.00,5568.00,130,4749.00,45,Yes,Yes,9582.00,3255.00,270.00,86,40,60,33,3,85,24,35,30,86,20,78,39,40,20,Male,47,57799,No
Cristi,Beever,8654.00,6457.00,252,8335.00,58,No,Yes,8491.00,8442.00,1236.00,3,83,99,7,63,59,81,50,41,7,77,11,79,94,37,Female,55,4586,Yes
Lindie,Shoebotham,8645.00,5953.00,873,8423.00,21,No,Yes,3802.00,619.00,5469.00,73,60,80,21,52,98,6,42,71,30,61,61,40,39,75,Male,24,28661,Yes
Laureen,Dusey,222.00,8014.00,724,5068.00,24,Yes,Yes,6419.00,6704.00,4951.00,26,48,79,12,74,35,76,78,49,17,17,23,27,45,44,Female,37,56586,Yes
Kriste,Lovegrove,3349.00,5967.00,123,2649.00,67,No,Yes,6160.00,7596.00,8192.00,35,18,49,17,61,91,10,7,53,44,32,29,66,8,40,Male,41,78376,No
Maridel,MacAlester,3637.00,9384.00,879,1019.00,86,Yes,Yes,6572.00,1782.00,5976.00,22,43,3,62,65,25,18,95,77,55,45,85,9,28,40,Female,80,97798,No
Melisenda,Clear,7614.00,568.00,5,9459.00,36,Yes,No,8886.00,3435.00,3414.00,74,36,30,90,56,91,28,18,83,29,28,6,31,84,100,Male,61,6582,No
Myrna,Joly,2798.00,365.00,187,1987.00,65,No,No,1398.00,8351.00,8497.00,63,90,90,13,51,42,11,66,22,18,74,51,82,76,88,Male,10,56825,Yes
Gian,Shotboulte,1113.00,2013.00,818,6471.00,78,No,No,6059.00,5092.00,5654.00,87,77,23,15,79,38,68,25,55,8,89,80,62,84,52,Male,10,74495,Yes
Dolli,Hayne,7771.00,7878.00,666,1012.00,88,No,No,3521.00,3301.00,2289.00,27,48,68,3,23,31,60,29,39,17,85,44,49,44,6,Male,69,14513,No
Georgie,Thow,8378.00,3565.00,937,3355.00,52,Yes,No,1340.00,4457.00,8125.00,46,33,44,29,69,47,26,38,62,39,16,98,9,72,63,Female,76,28658,Yes
Abbot,Woodwing,3279.00,9173.00,892,1551.00,45,Yes,No,960.00,8182.00,3684.00,35,6,37,50,67,72,48,75,28,13,41,42,68,47,73,Female,20,22211,No
Garland,Donoher,2451.00,8391.00,344,9299.00,45,No,No,7218.00,2893.00,9197.00,95,89,14,49,63,59,86,55,11,85,71,76,60,46,91,Male,51,92751,No
Matthaeus,Pennoni,1139.00,7423.00,187,2575.00,14,Yes,Yes,6145.00,4926.00,9189.00,4,79,98,62,16,90,84,29,60,73,20,98,33,18,10,Female,33,21881,Yes
Aurthur,Casaccio,746.00,5860.00,10,7558.00,29,Yes,Yes,4594.00,5365.00,8894.00,88,75,71,79,99,25,12,98,73,15,67,74,85,82,8,Male,61,53742,No
Bernarr,Blethyn,5099.00,4537.00,541,158.00,12,No,Yes,116.00,5206.00,5758.00,17,79,45,40,22,36,100,83,80,27,47,89,86,11,46,Female,6,13996,Yes
Sheridan,Smallshaw,9941.00,3394.00,146,1513.00,31,No,No,5409.00,8045.00,5658.00,56,26,55,73,23,78,92,70,84,9,84,57,77,16,75,Male,47,9390,Yes
Melisse,Cordall,5183.00,5543.00,191,801.00,76,Yes,No,4959.00,9457.00,2482.00,3,78,80,45,78,67,42,77,81,14,57,6,74,56,66,Female,47,36138,Yes
Bertina,Gemlett,9741.00,9824.00,501,8025.00,35,Yes,No,4303.00,1951.00,695.00,78,86,51,20,94,39,28,26,4,34,81,43,67,96,3,Male,66,71041,No
Christina,Nicholls,8686.00,862.00,390,9937.00,5,Yes,No,2976.00,6803.00,3454.00,50,43,86,22,57,87,10,47,47,7,52,55,41,50,47,Male,38,65135,No
Sydney,Renne,5556.00,7977.00,892,5806.00,91,Yes,No,1993.00,8294.00,9701.00,45,42,21,84,65,99,42,29,95,66,72,52,62,80,33,Female,31,48583,No
Quintana,Stannering,2535.00,4641.00,401,2971.00,51,Yes,Yes,6799.00,588.00,9605.00,98,24,8,96,94,63,14,34,16,46,69,53,69,71,96,Female,37,77296,No
Freddie,Turvie,2946.00,4104.00,645,8497.00,9,Yes,Yes,4090.00,6065.00,4176.00,4,66,13,50,69,11,49,16,68,78,55,85,100,56,66,Male,61,15070,No
Zeke,Heindrich,6279.00,2003.00,823,2020.00,91,No,Yes,8165.00,6507.00,5080.00,7,56,7,70,47,68,33,53,5,66,89,91,58,3,1,Male,68,19868,Yes
Sarajane,Palfrey,1709.00,380.00,238,6186.00,85,No,No,2040.00,1778.00,7645.00,47,71,55,95,2,86,74,79,36,80,30,30,32,6,13,Male,51,14040,Yes
Danie,Gard,6057.00,9787.00,601,6318.00,81,Yes,No,9288.00,4145.00,797.00,38,65,87,63,71,50,83,6,7,46,4,17,47,27,49,Male,32,45202,No
Meade,Shopcott,4020.00,6003.00,608,4102.00,89,No,Yes,3762.00,8499.00,8946.00,71,90,42,98,52,42,80,32,58,54,89,47,60,47,78,Male,33,28373,No
Arni,Airth,1225.00,2966.00,116,768.00,3,Yes,No,3714.00,5233.00,1887.00,8,12,92,45,57,71,85,48,82,22,14,75,14,27,1,Male,10,8964,Yes
Eimile,Childerhouse,3940.00,9933.00,997,4500.00,68,Yes,Yes,692.00,6592.00,7490.00,71,83,2,81,41,2,98,45,60,28,97,92,24,23,32,Female,21,5201,No
Loydie,Cade,5199.00,3083.00,602,3715.00,34,No,Yes,3690.00,9984.00,1156.00,7,98,9,10,71,22,12,36,5,50,48,39,62,90,19,Female,19,57845,No
Teodora,Klimpke,8823.00,2070.00,535,8690.00,34,Yes,No,1792.00,4485.00,3397.00,66,13,56,82,19,76,71,19,73,18,27,54,72,31,55,Female,64,62488,No
Rebekkah,Somerbell,8835.00,1244.00,463,2632.00,90,Yes,No,395.00,6994.00,3579.00,63,28,63,12,35,7,59,67,71,73,88,98,26,46,18,Female,57,97680,No
Neila,Dammarell,892.00,8449.00,512,2310.00,61,Yes,Yes,9025.00,2626.00,8056.00,80,80,26,40,94,82,80,27,26,21,50,99,56,36,75,Male,76,22595,Yes
Antonia,De Biaggi,8356.00,8476.00,815,7199.00,74,Yes,No,1714.00,4933.00,7076.00,96,15,76,79,21,48,18,30,33,45,35,83,17,68,89,Female,64,18511,Yes
Egbert,Korneichik,5950.00,5048.00,612,1525.00,69,Yes,Yes,3694.00,4009.00,654.00,97,20,81,46,71,1,40,7,3,33,10,11,69,46,34,Female,50,88809,No
Quintana,Hanselmann,1275.00,4744.00,626,5844.00,37,No,Yes,3852.00,2213.00,758.00,81,5,84,29,70,52,58,100,33,16,48,17,3,9,58,Male,79,94993,Yes
Shana,MacKartan,362.00,1915.00,649,613.00,50,No,No,6608.00,5858.00,6195.00,1,44,91,61,22,20,65,97,61,45,89,94,42,6,33,Male,39,6430,Yes
Wilbur,Majury,5471.00,3336.00,152,1511.00,13,Yes,No,845.00,8033.00,9244.00,57,21,90,24,65,25,38,92,7,57,35,77,67,90,68,Male,55,58416,Yes
Cacilia,Rivett,1732.00,9651.00,697,1485.00,71,No,Yes,6277.00,4672.00,7767.00,69,100,66,14,52,92,66,41,4,31,93,73,77,92,55,Female,33,30151,No
Richard,Brellin,1983.00,7832.00,347,763.00,57,Yes,No,292.00,3207.00,5251.00,14,41,60,95,36,33,82,66,57,75,16,94,38,94,68,Male,28,2619,Yes
Keane,Blenkharn,7503.00,1602.00,255,7415.00,63,No,No,1562.00,6240.00,8324.00,60,92,24,27,5,22,66,47,3,33,24,56,51,65,70,Male,39,70348,Yes
Maia,Auld,3803.00,4753.00,565,8974.00,68,No,No,6630.00,5982.00,7228.00,79,8,3,91,13,39,100,43,93,38,35,61,45,96,26,Female,75,63157,Yes
Shara,Davall,8538.00,1171.00,217,6283.00,38,Yes,No,4955.00,7165.00,2858.00,72,71,45,45,99,14,72,100,45,68,29,20,46,100,84,Male,75,84604,Yes
Merill,Caple,902.00,8284.00,176,893.00,24,No,No,2203.00,6439.00,8539.00,73,9,46,43,9,46,79,26,18,24,69,30,33,97,71,Male,47,77797,Yes
Aldus,Leppington,400.00,1389.00,919,5345.00,29,No,Yes,5075.00,3431.00,841.00,26,70,20,54,55,9,74,2,81,35,44,65,71,41,79,Female,12,2155,Yes
Tailor,Haggata,7386.00,7027.00,881,4737.00,1,No,Yes,5495.00,8955.00,5933.00,2,100,13,71,62,39,63,74,56,13,77,53,43,87,59,Male,73,91335,Yes
Stearn,Skaife d'Ingerthorpe,1352.00,1316.00,623,962.00,80,No,No,3591.00,752.00,3566.00,7,6,41,78,88,74,1,85,21,8,4,97,76,94,6,Female,71,38943,Yes
Tate,Radeliffe,8909.00,7998.00,62,2874.00,77,Yes,Yes,6054.00,3723.00,5768.00,91,19,34,52,29,95,94,41,36,12,14,60,7,22,62,Male,15,41469,Yes
Lorine,Ilyenko,2312.00,1636.00,18,3019.00,48,Yes,Yes,8107.00,3338.00,6954.00,52,81,82,93,30,63,2,84,26,91,66,51,85,65,88,Male,58,29836,Yes
Winfred,Bethell,7858.00,8051.00,852,5163.00,54,Yes,Yes,1057.00,5611.00,2860.00,11,25,60,29,62,48,36,93,13,90,22,86,57,64,4,Male,2,63131,Yes
Rudd,Vedenichev,9237.00,8728.00,281,873.00,5,Yes,No,8089.00,5810.00,2880.00,43,76,98,16,71,38,21,79,90,80,42,82,44,48,52,Female,48,85284,Yes
Sampson,Hutchings,3496.00,8870.00,679,5582.00,31,Yes,Yes,7875.00,5576.00,3726.00,39,63,72,89,52,27,81,73,52,61,33,79,80,62,31,Female,34,83697,No
Brendis,Christaeas,9739.00,8030.00,654,8660.00,28,No,No,8716.00,1761.00,3006.00,3,46,10,30,73,1,98,30,74,92,91,12,81,29,79,Female,59,27340,Yes
Charlot,Lampel,2930.00,1846.00,706,2690.00,55,Yes,Yes,1798.00,9641.00,9386.00,73,90,64,13,36,90,15,28,2,33,19,3,69,25,29,Female,61,56003,No
Marielle,Sally,5287.00,7811.00,544,8609.00,35,Yes,Yes,8680.00,158.00,6913.00,69,89,19,41,19,17,41,32,73,22,43,63,63,16,68,Female,74,38944,Yes
Doyle,Tregenza,4828.00,2578.00,220,9759.00,77,No,No,1570.00,5985.00,9729.00,94,25,92,70,21,16,16,33,35,81,67,97,2,82,23,Female,7,64943,Yes
Terrell,Josskowitz,741.00,2536.00,571,6365.00,85,No,No,2623.00,6385.00,3603.00,97,23,85,9,19,66,91,49,64,5,23,81,23,57,41,Female,47,42741,Yes
Early,Furzer,5119.00,6053.00,440,8358.00,43,No,No,7931.00,4379.00,5734.00,79,31,89,14,4,42,27,52,36,92,25,99,76,52,57,Female,71,55142,No
Tonie,Cosgreave,4288.00,2016.00,287,1388.00,35,Yes,No,369.00,907.00,176.00,29,64,33,42,17,88,59,44,48,79,29,95,40,44,50,Female,33,73178,No
Trenna,Matts,413.00,5156.00,981,8156.00,81,Yes,No,1342.00,8687.00,9297.00,43,10,28,14,58,100,64,99,30,59,59,30,56,48,29,Male,3,63375,No
Roth,Elnaugh,2068.00,1385.00,970,2351.00,69,Yes,Yes,7929.00,7367.00,8886.00,38,66,53,1,37,12,61,82,74,69,1,91,11,47,37,Male,63,75738,No
Elle,de Copeman,7520.00,3044.00,152,2760.00,86,No,Yes,8710.00,9281.00,2419.00,17,67,28,27,41,11,86,26,94,79,69,88,81,45,69,Female,25,8020,No
Celeste,Livingston,7704.00,9496.00,804,4026.00,51,Yes,Yes,6617.00,9685.00,5898.00,99,58,63,28,61,96,94,2,47,83,61,4,16,64,1,Male,45,90924,No
Norri,Lathbury,7383.00,8634.00,541,818.00,92,Yes,No,7655.00,3905.00,2537.00,100,93,78,62,7,71,88,32,54,33,14,10,51,45,91,Female,30,31757,No
Karna,Lymbourne,1137.00,7986.00,865,9789.00,60,No,Yes,9611.00,3728.00,377.00,15,68,49,12,95,81,42,67,9,94,12,47,6,65,77,Female,37,16716,No
Lenore,Galle,6631.00,3961.00,487,8187.00,51,No,No,1411.00,750.00,2838.00,37,30,59,87,45,6,9,45,23,64,57,87,68,82,91,Male,43,37265,No
Tynan,Beaven,5134.00,5082.00,556,2274.00,24,No,Yes,2873.00,5929.00,5274.00,95,14,63,41,65,8,92,26,56,60,68,69,88,19,96,Female,64,72725,No
Rodina,Jarman,1658.00,4954.00,889,535.00,86,No,No,1137.00,5003.00,7304.00,2,78,28,96,89,95,44,43,99,43,31,23,82,36,100,Male,11,57088,No
Griselda,Schonfelder,3553.00,6766.00,734,1886.00,53,Yes,Yes,4295.00,4329.00,5028.00,18,29,64,18,85,37,19,13,63,42,39,86,29,27,64,Male,72,93337,No
Cory,Caudwell,4582.00,1585.00,271,5189.00,37,No,No,2367.00,308.00,6019.00,73,7,43,35,86,44,99,64,2,77,97,67,63,62,32,Male,70,59960,Yes
Sharai,Deares,8323.00,9368.00,974,6799.00,87,No,Yes,701.00,4426.00,3599.00,76,99,94,70,24,88,66,84,66,100,21,68,50,19,2,Female,31,48621,No
Brit,Carstairs,2567.00,3230.00,485,6934.00,84,Yes,No,1352.00,5183.00,3064.00,20,42,9,98,62,58,76,9,99,39,61,6,98,7,48,Female,27,10290,Yes
Junette,Kanter,4982.00,4403.00,461,4939.00,61,No,No,6985.00,5199.00,4853.00,83,53,49,97,95,25,70,8,19,42,23,3,15,39,6,Female,64,1050,Yes
Doll,Lohrensen,9809.00,182.00,149,7415.00,48,Yes,No,6482.00,9134.00,7455.00,54,85,15,3,12,10,56,77,70,69,39,44,36,33,8,Female,6,14719,Yes
Lambert,Brazier,3868.00,9299.00,670,1752.00,28,No,No,4725.00,5767.00,8194.00,11,60,56,2,64,8,88,61,4,9,86,5,30,100,50,Female,28,86041,Yes
